"m","r","alpha","methods","alpha_prime","t1_err_alpha_prime"
3,3,0.1,"Simes",0.085,0.101520811099253
3,3,0.12,"Fisher",0.105,0.122
3,3,0.12,"Simes",0.105,0.123933333333333
3,3,0.14,"Fisher",0.1175,0.139441035218783
3,3,0.14,"Simes",0.12125,0.138874066168623
3,3,0.16,"Fisher",0.14125,0.1619
3,3,0.16,"Simes",0.1375,0.1575
3,3,0.18,"Fisher",0.1575,0.176033333333333
3,3,0.18,"Simes",0.1575,0.179066666666667
3,3,0.2,"Fisher",0.1775,0.2034
3,3,0.2,"Simes",0.1775,0.202666666666667
3,3,0.4,"Fisher",0.37375,0.401
3,3,0.4,"Simes",0.375625,0.403766666666667
3,3,0.6,"Fisher",0.585,0.597766666666667
3,3,0.6,"Simes",0.585,0.602933333333333
3,3,0.8,"Fisher",0.7925,0.798866666666667
3,3,0.8,"Simes",0.785,0.7976
3,3,1,"Fisher",0.99625,0.996433333333333
3,3,1,"Simes",0.998125,0.997333333333333
4,2,0.001,"Fisher",0.0009375,0.00073450854700854
4,2,0.001,"Simes",0.0009921875,0.00070112179487179
4,2,0.005,"Fisher",0.0046875,0.00466666666666666
4,2,0.005,"Simes",0.004375,0.00433333333333333
4,2,0.01,"Fisher",0.0075,0.00816666666666666
4,2,0.01,"Simes",0.0075,0.00726666666666666
4,2,0.02,"Fisher",0.015,0.0174759871931697
4,2,0.02,"Simes",0.015,0.0163420490928495
4,2,0.03,"Fisher",0.0225,0.0261
4,2,0.03,"Simes",0.0225,0.027
4,2,0.04,"Fisher",0.0325,0.0381
4,2,0.04,"Simes",0.0325,0.0379333333333333
4,2,0.05,"Fisher",0.0425,0.0494
4,2,0.05,"Simes",0.0425,0.0497666666666667
4,2,0.06,"Fisher",0.05625,0.0636017628205128
4,2,0.06,"Simes",0.0525,0.0595953525641026
4,2,0.07,"Fisher",0.06296875,0.0711666666666667
4,2,0.07,"Simes",0.0625,0.0709
4,2,0.08,"Fisher",0.0725,0.0838333333333333
4,2,0.08,"Simes",0.0725,0.0821333333333333
4,2,0.09,"Fisher",0.07875,0.0861666666666667
4,2,0.09,"Simes",0.075,0.0871333333333333
4,2,0.1,"Fisher",0.085,0.0962666666666667
4,2,0.1,"Simes",0.085,0.0972333333333333
4,2,0.12,"Fisher",0.105,0.121661324786325
4,2,0.12,"Simes",0.105,0.116419604700855
4,2,0.14,"Fisher",0.125,0.137633333333333
4,2,0.14,"Simes",0.125,0.142766666666667
4,2,0.16,"Fisher",0.145234375,0.161666666666667
4,2,0.16,"Simes",0.145,0.162266666666667
4,2,0.18,"Fisher",0.165,0.179933333333333
4,2,0.18,"Simes",0.16125,0.1801
4,2,0.2,"Fisher",0.1775,0.196271344717182
4,2,0.2,"Simes",0.1775,0.198972785485592
4,2,0.4,"Fisher",0.37375,0.397933333333333
4,2,0.4,"Simes",0.377734375,0.403033333333333
4,2,0.8,"Fisher",0.78875,0.8011
4,2,0.8,"Simes",0.785,0.799
4,2,1,"Fisher",0.99625,0.9967
4,2,1,"Simes",0.998125,0.998333333333333
4,3,0.001,"Fisher",0.0009375,0.0008346688034188
4,3,0.001,"Simes",0.0009921875,0.00073450854700854
4,3,0.005,"Fisher",0.004375,0.00393333333333333
4,3,0.005,"Simes",0.004375,0.00356666666666666
4,3,0.01,"Fisher",0.0075,0.00813333333333333
4,3,0.01,"Simes",0.0075,0.0069
4,3,0.02,"Fisher",0.015,0.0184333333333333
4,3,0.02,"Simes",0.015,0.0180666666666667
4,3,0.03,"Fisher",0.0225,0.0262086004273504
4,3,0.03,"Simes",0.0225,0.0290464743589744
4,3,0.04,"Fisher",0.0325,0.0389623397435897
4,3,0.04,"Simes",0.0325,0.0396300747863248
4,3,0.05,"Fisher",0.0425,0.0483333333333333
4,3,0.05,"Simes",0.0425,0.0505333333333333
4,3,0.06,"Fisher",0.0525,0.0626
4,3,0.06,"Simes",0.0525,0.0612666666666667
4,3,0.07,"Fisher",0.0625,0.0724386339381003
4,3,0.07,"Simes",0.05875,0.0675026680896478
4,3,0.08,"Fisher",0.06875,0.0806
4,3,0.08,"Simes",0.065,0.0789
4,3,0.09,"Fisher",0.075,0.0860333333333333
4,3,0.09,"Simes",0.075,0.0902666666666667
4,3,0.1,"Fisher",0.085,0.103365384615385
4,3,0.1,"Simes",0.085,0.1015625
4,3,0.12,"Fisher",0.105,0.119224091880342
4,3,0.12,"Simes",0.105,0.123998397435897
4,3,0.14,"Fisher",0.125,0.142566666666667
4,3,0.14,"Simes",0.1175,0.137766666666667
4,3,0.16,"Fisher",0.1375,0.159833333333333
4,3,0.16,"Simes",0.1375,0.160233333333333
4,3,0.18,"Fisher",0.1575,0.181466666666667
4,3,0.18,"Simes",0.1575,0.181166666666667
4,3,0.2,"Fisher",0.1775,0.203366666666667
4,3,0.2,"Simes",0.1775,0.201766666666667
4,3,0.4,"Fisher",0.37375,0.402
4,3,0.4,"Simes",0.37375,0.397233333333333
4,3,0.6,"Fisher",0.5775,0.602833333333333
4,3,0.6,"Simes",0.571875,0.6031
4,3,0.8,"Fisher",0.785,0.800766666666667
4,3,0.8,"Simes",0.785,0.799866666666667
4,3,1,"Fisher",0.99625,0.9962
4,3,1,"Simes",0.99625,0.9962
4,4,0.001,"Fisher",0.0009375,0.0008346688034188
4,4,0.001,"Simes",0.000998046875,0.00096821581196581
4,4,0.005,"Fisher",0.00484375,0.00443333333333333
4,4,0.005,"Simes",0.00484375,0.00336666666666666
4,4,0.01,"Fisher",0.0075,0.00803333333333333
4,4,0.01,"Simes",0.0075,0.00736666666666666
